"","data.gene.id.full","data.gene.id"
"17543","ENSG00000168703.5","ENSG00000168703"
"17544","ENSG00000124102.4","ENSG00000124102"
"17545","ENSG00000124233.11","ENSG00000124233"
"17546","ENSG00000124157.6","ENSG00000124157"
"17547","ENSG00000124107.5","ENSG00000124107"
"17548","ENSG00000124159.15","ENSG00000124159"
"17549","ENSG00000124232.10","ENSG00000124232"
"17550","ENSG00000124145.6","ENSG00000124145"
"17551","ENSG00000204070.9","ENSG00000204070"
"17552","ENSG00000124251.10","ENSG00000124251"
"17553","ENSG00000244274.7","ENSG00000244274"
"17554","ENSG00000124155.17","ENSG00000124155"
"17555","ENSG00000101443.17","ENSG00000101443"
"17556","ENSG00000101446.7","ENSG00000101446"
"17557","ENSG00000243543.8","ENSG00000243543"
"17558","ENSG00000101448.13","ENSG00000101448"
"17559","ENSG00000158901.11","ENSG00000158901"
"17560","ENSG00000180205.3","ENSG00000180205"
"17561","ENSG00000180305.4","ENSG00000180305"
"17562","ENSG00000180083.10","ENSG00000180083"
"17563","ENSG00000182931.9","ENSG00000182931"
"17564","ENSG00000168634.4","ENSG00000168634"
"17565","ENSG00000149651.3","ENSG00000149651"
"17566","ENSG00000124116.18","ENSG00000124116"
"17567","ENSG00000101457.12","ENSG00000101457"
"17568","ENSG00000175063.16","ENSG00000175063"
"17569","ENSG00000101470.9","ENSG00000101470"
"17570","ENSG00000124104.18","ENSG00000124104"
"17571","ENSG00000101473.16","ENSG00000101473"
"17572","ENSG00000132801.6","ENSG00000132801"
"17573","ENSG00000168612.4","ENSG00000168612"
"17574","ENSG00000149634.4","ENSG00000149634"
"17575","ENSG00000124257.6","ENSG00000124257"
"17576","ENSG00000064601.16","ENSG00000064601"
"17577","ENSG00000100979.14","ENSG00000100979"
"17578","ENSG00000100982.11","ENSG00000100982"
"17579","ENSG00000198026.7","ENSG00000198026"
"17580","ENSG00000100985.7","ENSG00000100985"
"17581","ENSG00000124140.13","ENSG00000124140"
"17582","ENSG00000124160.11","ENSG00000124160"
"17583","ENSG00000101017.13","ENSG00000101017"
"17584","ENSG00000149654.9","ENSG00000149654"
"17585","ENSG00000080189.14","ENSG00000080189"
"17586","ENSG00000062598.17","ENSG00000062598"
"17587","ENSG00000198185.11","ENSG00000198185"
"17588","ENSG00000149635.2","ENSG00000149635"
"17589","ENSG00000158296.13","ENSG00000158296"
"17590","ENSG00000172315.5","ENSG00000172315"
"17591","ENSG00000197496.5","ENSG00000197496"
"17592","ENSG00000064655.18","ENSG00000064655"
"17593","ENSG00000101040.19","ENSG00000101040"
"17594","ENSG00000124151.18","ENSG00000124151"
"17595","ENSG00000196562.14","ENSG00000196562"
"17596","ENSG00000124126.13","ENSG00000124126"
"17597","ENSG00000124198.8","ENSG00000124198"
"17598","ENSG00000124207.16","ENSG00000124207"
"17599","ENSG00000124214.19","ENSG00000124214"
"17600","ENSG00000124228.14","ENSG00000124228"
"17601","ENSG00000124201.14","ENSG00000124201"
"17602","ENSG00000158445.9","ENSG00000158445"
"17603","ENSG00000124212.5","ENSG00000124212"
"17604","ENSG00000158470.5","ENSG00000158470"
"17605","ENSG00000197818.11","ENSG00000197818"
"17606","ENSG00000158480.10","ENSG00000158480"
"17607","ENSG00000124226.10","ENSG00000124226"
"17608","ENSG00000124216.3","ENSG00000124216"
"17609","ENSG00000244687.11","ENSG00000244687"
"17610","ENSG00000240849.10","ENSG00000240849"
"17611","ENSG00000172216.5","ENSG00000172216"
"17612","ENSG00000196396.9","ENSG00000196396"
"17613","ENSG00000042062.11","ENSG00000042062"
"17614","ENSG00000124171.8","ENSG00000124171"
"17615","ENSG00000124243.17","ENSG00000124243"
"17616","ENSG00000101126.15","ENSG00000101126"
"17617","ENSG00000000419.12","ENSG00000000419"
"17618","ENSG00000124217.4","ENSG00000124217"
"17619","ENSG00000026559.13","ENSG00000026559"
"17620","ENSG00000101096.19","ENSG00000101096"
"17621","ENSG00000054793.13","ENSG00000054793"
"17622","ENSG00000101115.12","ENSG00000101115"
"17623","ENSG00000020256.19","ENSG00000020256"
"17624","ENSG00000182463.15","ENSG00000182463"
"17625","ENSG00000171940.13","ENSG00000171940"
"17626","ENSG00000064787.13","ENSG00000064787"
"17627","ENSG00000019186.9","ENSG00000019186"
"17628","ENSG00000101132.9","ENSG00000101132"
"17629","ENSG00000101134.11","ENSG00000101134"
"17630","ENSG00000054803.3","ENSG00000054803"
"17631","ENSG00000124089.4","ENSG00000124089"
"17632","ENSG00000124098.9","ENSG00000124098"
"17633","ENSG00000087586.17","ENSG00000087586"
"17634","ENSG00000101138.11","ENSG00000101138"
"17635","ENSG00000087589.16","ENSG00000087589"
"17636","ENSG00000022277.12","ENSG00000022277"
"17637","ENSG00000124091.9","ENSG00000124091"
"17638","ENSG00000124103.8","ENSG00000124103"
"17639","ENSG00000213714.1","ENSG00000213714"
"17640","ENSG00000087510.6","ENSG00000087510"
"17641","ENSG00000101144.12","ENSG00000101144"
"17642","ENSG00000054796.12","ENSG00000054796"
"17643","ENSG00000101146.12","ENSG00000101146"
"17644","ENSG00000256222.2","ENSG00000256222"
"17645","ENSG00000132819.16","ENSG00000132819"
"17646","ENSG00000124092.12","ENSG00000124092"
"17647","ENSG00000124253.10","ENSG00000124253"
"17648","ENSG00000124256.14","ENSG00000124256"
"17649","ENSG00000124225.15","ENSG00000124225"
"17650","ENSG00000124237.5","ENSG00000124237"
"17651","ENSG00000124227.5","ENSG00000124227"
"17652","ENSG00000124209.3","ENSG00000124209"
"17653","ENSG00000124164.15","ENSG00000124164"
"17654","ENSG00000198768.10","ENSG00000198768"
"17655","ENSG00000124222.22","ENSG00000124222"
"17656","ENSG00000215440.11","ENSG00000215440"
"17657","ENSG00000087460.24","ENSG00000087460"
"17658","ENSG00000101158.13","ENSG00000101158"
"17659","ENSG00000101160.13","ENSG00000101160"
"17660","ENSG00000101162.3","ENSG00000101162"
"17661","ENSG00000124172.9","ENSG00000124172"
"17662","ENSG00000101166.15","ENSG00000101166"
"17663","ENSG00000124203.6","ENSG00000124203"
"17664","ENSG00000124205.15","ENSG00000124205"
"17665","ENSG00000087495.16","ENSG00000087495"
"17666","ENSG00000196074.12","ENSG00000196074"
"17667","ENSG00000196227.10","ENSG00000196227"
"17668","ENSG00000132825.6","ENSG00000132825"
"17669","ENSG00000124215.16","ENSG00000124215"
"17670","ENSG00000179242.15","ENSG00000179242"
