Metabolite,Model_Metabolite_ID,Conversion_to_Absolute,P0_05,P0_11,P0_16,P0_22,P0_30,C0_05,C0_11,C0_16,C0_22,C0_30,N0_05,N0_11,N0_16,N0_22,N0_30,L0_05,L0_11,L0_16,L0_22,L0_30,U0_05,U0_11,U0_16,U0_22,U0_30
"3-(4-hydroxyphenyl)pyruvate","3-(4-hydroxyphenyl)pyruvate [cytoplasm]",NaN,0.186145071694226,0.149284006454132,0.0758129420433159,0.0438211728307624,-0.138799501536559,0.223705491321434,0.0837995544483953,0.0195635436423535,0.212513269823339,-0.563013610750125,2.75416019740596,1.41927689082743,2.29158584441165,2.29889814946571,2.05638974875223,2.01408445813844,1.60935947832095,0.613220438885512,0.00204819146612383,-0.213485155877432,0.429088936139632,0.0849900639816799,0.0988698518361896,0.114292473405624,0.0969813308889368
"3-hydroxy-3-methylglutaryl-CoA","3-hydroxy-3-methylglutaryl-CoA [cytoplasm]",NaN,-0.114014893321075,0.259184059459827,0.333450092154576,0.18859156558752,-0.297714302474911,1.00087410990014,0.8248695599441,0.801132977835943,0.734439507428768,0.0687512275601635,-2.06336199749367,-1.25207737724187,-1.58486475790767,-1.56018435633332,-1.75750148404895,1.41265704182742,1.31797181089996,1.43443750680242,1.32182252459182,0.833156214856324,0.939742055697617,0.457608105180464,0.62085053419327,0.15208116605326,-0.279612566606643
"3-phosphonato-D-glycerate(3-)","3-phosphonato-D-glycerate(3-) [cytoplasm]",2.12981446999637e-05,-0.0777380578232428,0.514019703336302,0.869892150420317,1.25436047064879,1.68024062463692,5.52230005916128,5.88354903702048,5.97013661158631,5.13771114503159,5.00274975354719,5.28218612286358,5.52265190934026,5.26234543879547,4.29672793163367,4.0764744672388,2.7567001856626,2.52111087436707,2.30735771518266,2.32164729977914,2.6078975289648,1.00223745440649,1.11948551381288,1.74479270600349,2.05985679892941,2.34220981114179
"3',5'-cyclic AMP","3',5'-cyclic AMP [cytoplasm]",2.58552348694185e-07,-0.00216207036760267,0.137166510454979,0.212286915900479,0.276110568914942,0.274336245238729,0.0115498722518067,0.064700829435841,0.0515545317900505,0.0743552642087162,-0.119954744317378,0.315497806665095,0.237657072095504,0.183802261804694,-0.0304446575979244,-0.162352710443969,0.0924042640227745,0.0486215723677014,-0.0622889715253067,-0.0801515981477412,-0.0176574996772493,0.379653620787543,0.318519481902095,0.304321392239488,0.181408407875405,0.0590978794513239
"6-O-phosphono-D-glucono-1,5-lactone","6-O-phosphono-D-glucono-1,5-lactone [cytoplasm]",NaN,-0.0894595288424257,-0.240253292224578,-0.176862710523886,0.204500740337119,0.601117392320542,1.1735137596704,1.34918268049434,1.53497187384603,1.23368248869921,2.62449440163808,1.29031205502055,2.13343286559988,1.94200235554137,2.22746108126929,2.61324509960995,1.32490920984003,1.65568037237353,1.92471621648257,2.08532446499835,2.14422712692742,1.07434793697248,1.38804183001426,1.71971670510271,2.12708805842003,2.3939412563544
"6-phospho-D-gluconate","6-phospho-D-gluconate [cytoplasm]",8.89579386246668e-06,-0.206191558989276,2.55063532337797,3.64871034206579,5.03790450839913,5.20148353453579,5.08623011478338,5.54698962716322,5.85116557482721,6.19484180158435,5.39921359393794,3.64657339361303,3.23978210640445,4.32666784110595,4.86970143836913,4.58446990920728,4.04903289994531,4.29566444644123,4.40416344135184,4.75826113947461,5.00243658373577,3.4591809069031,3.63220423492056,4.43096786646263,4.69079975585454,4.70593489751258
"9H-xanthine","9H-xanthine [cytoplasm]",NaN,0.0145158818636164,-0.616351955282847,-0.928938833035416,-1.44991166441376,-1.67530088094415,-1.44243056418998,-1.50795645015521,-1.55529128802902,-1.81251284321417,-1.57674382596045,-2.34353117712501,-1.53697955438331,-2.25335513115847,-2.44471369368536,-2.49274580061532,-1.23447972970147,-1.39473431864667,-1.22746730719234,-1.32059965866029,-1.55658830589566,-2.34023643597193,-2.48531431984436,-2.5876460498399,-2.66044114378655,-2.61943310719612
"acetyl-CoA","acetyl-CoA [cytoplasm]",1.3820378876278e-05,-0.0594447817043797,0.607065664826759,0.815747861832092,1.01181608198978,0.772238065900549,0.611873294198907,0.732403896625705,0.846778813622107,0.869109580590198,0.681819573188222,-0.0697270521184118,0.322504687419212,0.386696599612098,0.457818795292073,0.229584559501481,1.70115638901495,1.59008645482785,1.37142534319774,1.22458830708847,0.977340881899128,1.21131697694751,0.969404928754747,1.21494549207449,1.038262742837,0.777735442390831
"adenosine","adenosine [cytoplasm]",NaN,0.227340835181789,-0.7278050433724,-1.50624589261985,-2.8514605989992,-3.81397651808346,-6.26001436106125,-6.4409628205233,-6.50151844858872,-6.31247613954033,-6.58560041308598,-5.55839797081622,-5.49753214518138,-5.57758090414652,-5.49898039570131,-5.81076346806221,-3.36501736396112,-4.13433051827065,-4.83304125469226,-5.48793370506954,-6.18932616910163,-3.66578028051832,-4.14864004876631,-4.78328902267695,-5.23219468128424,-5.56471204627221
"ADP","ADP [cytoplasm]",5.50040986651291e-05,-0.0411101671639728,0.327194987623509,0.531883553691264,0.823430584748841,0.861530160543067,0.823999221141022,0.884686788798694,0.896936631353424,0.925981033746118,0.769721462499411,0.629070861552984,0.765555941039088,0.647786743877354,0.607149965800714,0.472745448444765,1.0403396869236,1.11663077895931,1.19139134553903,1.21777092688661,1.24166752367108,0.0732136104931277,-0.00976829430171581,0.168438813920171,0.181719744668829,0.193201265117161
