"","geneID","popMean","popSD"
"93","ENSG00000162408.10",2.9233414981982,0.375101875028312
"94","ENSG00000173662.20",-1.64337349119744,1.32576802503864
"95","ENSG00000204859.12",4.24415802577339,0.539944407247394
"96","ENSG00000162413.16",5.22395604395605,0.745303064134668
"97","ENSG00000116273.5",3.99836955238885,0.501635379946518
"98","ENSG00000041988.15",3.77249042414736,0.393827431033103
"99","ENSG00000007923.15",4.37320546474984,0.444786749629449
"100","ENSG00000171735.18",2.95280976025267,0.6381666878023
"101","ENSG00000049245.12",6.36754277093374,0.310572322168462
"102","ENSG00000049246.14",3.93072071927852,1.07481538574916
"103","ENSG00000049247.13",-4.9754945054945,2.84572042819816
"104","ENSG00000049249.8",-3.71642857142857,2.78673740721405
"105","ENSG00000116288.12",7.83981068346916,0.48419964341493
